,State,RegionName,2009q2,2008q2,ratio,univ
0,New York,New York,465833.3333333333,503933.3333333333,1.081788908765653,False
1,California,Los Angeles,413900.0,502266.6666666667,1.213497624224853,False
2,Illinois,Chicago,219700.0,237900.0,1.0828402366863905,False
3,Pennsylvania,Philadelphia,116166.66666666667,118133.33333333333,1.0169296987087517,False
4,Arizona,Phoenix,168233.33333333334,205266.66666666666,1.2201307707549038,False
5,Nevada,Las Vegas,164333.33333333334,232300.0,1.4135902636916835,True
6,California,San Diego,389500.0,441400.0,1.1332477535301668,True
7,Texas,Dallas,105100.0,115366.66666666667,1.0976847446875992,True
8,California,San Jose,530300.0,611733.3333333334,1.1535608774907287,False
9,Florida,Jacksonville,140833.33333333334,160433.33333333334,1.139171597633136,False
10,California,San Francisco,695000.0,783633.3333333334,1.1275299760191848,False
11,Texas,Austin,204000.0,213733.33333333334,1.0477124183006536,True
12,Michigan,Detroit,60100.0,68633.33333333333,1.1419855795895728,False
13,Ohio,Columbus,109766.66666666667,113500.0,1.034011539629517,True
14,Tennessee,Memphis,76000.0,84400.0,1.1105263157894736,True
15,North Carolina,Charlotte,149833.33333333334,159600.0,1.0651835372636262,False
16,Texas,El Paso,118700.0,117766.66666666667,0.9921370401572592,False
17,Massachusetts,Boston,325200.0,347966.6666666667,1.0700082000820008,True
18,Washington,Seattle,393866.6666666667,445566.6666666667,1.1312626946513202,False
19,Maryland,Baltimore,123233.33333333333,127200.0,1.032188260751961,False
20,Colorado,Denver,209433.33333333334,220000.0,1.0504536049657807,False
21,District of Columbia,Washington,349400.0,376633.3333333333,1.0779431406220186,False
22,Tennessee,Nashville,150133.33333333334,154600.0,1.0297513321492007,True
23,Wisconsin,Milwaukee,116733.33333333333,131233.33333333334,1.1242147344374644,True
24,Arizona,Tucson,164366.66666666666,180600.0,1.0987629284120868,True
25,Oregon,Portland,274733.3333333333,285600.0,1.0395535064304782,False
26,Oklahoma,Oklahoma City,107100.0,109233.33333333333,1.019919078742608,False
27,Nebraska,Omaha,126200.0,128333.33333333333,1.016904384574749,False
28,New Mexico,Albuquerque,195366.66666666666,194733.33333333334,0.9967582323835524,False
29,California,Fresno,169333.33333333334,214100.0,1.2643700787401575,False
30,California,Sacramento,199800.0,250300.0,1.2527527527527527,True
31,Arizona,Mesa,167000.0,200966.66666666666,1.2033932135728542,False
32,California,Long Beach,387666.6666666667,451833.3333333333,1.1655202063628545,False
33,Missouri,Kansas City,125333.33333333333,155033.33333333334,1.2369680851063831,False
34,Virginia,Virginia Beach,248733.33333333334,268100.0,1.0778611632270167,False
35,Colorado,Colorado Springs,183233.33333333334,196733.33333333334,1.0736765508459158,False
36,Georgia,Atlanta,160166.66666666666,183066.66666666666,1.1429760665972946,True
37,Florida,Miami,226766.66666666666,317500.0,1.4001175951785978,False
38,California,Oakland,375833.3333333333,450566.6666666667,1.1988470066518848,False
39,Oklahoma,Tulsa,91500.0,92433.33333333333,1.010200364298725,True
40,Ohio,Cleveland,66466.66666666667,73300.0,1.1028084252758275,False
41,Hawaii,Honolulu,503700.0,542800.0,1.0776255707762556,False
42,Minnesota,Minneapolis,183533.33333333334,201600.0,1.0984380675626588,False
43,Louisiana,New Orleans,,,,False
44,Texas,Arlington,119766.66666666667,127966.66666666667,1.0684664625661007,False
45,North Carolina,Raleigh,180600.0,187000.0,1.035437430786268,False
46,Kansas,Wichita,110666.66666666667,103500.0,0.9352409638554217,False
47,Florida,Tampa,135300.0,165500.0,1.2232076866223207,True
48,California,Anaheim,379866.6666666667,496333.3333333333,1.3065988065988066,False
49,California,Santa Ana,305633.3333333333,486400.0,1.5914494492311049,False
50,Colorado,Aurora,149000.0,165466.66666666666,1.1105145413870245,False
51,Missouri,Saint Louis,114166.66666666667,119600.0,1.0475912408759123,False
52,Pennsylvania,Pittsburgh,80300.0,80933.33333333333,1.0078870900788708,False
53,California,Riverside,236466.66666666666,343666.6666666667,1.4533408514237385,True
54,Georgia,Marietta,196900.0,215833.33333333334,1.096157101743694,False
55,Alaska,Anchorage,271933.3333333333,300366.6666666667,1.1045599411620497,False
56,California,Bakersfield,167633.33333333334,216966.66666666666,1.2942931000198845,False
57,Minnesota,Saint Paul,144233.33333333334,158366.66666666666,1.097989369077883,False
58,Ohio,Toledo,71133.33333333333,77366.66666666667,1.0876288659793816,False
59,Maryland,Silver Spring,339833.3333333333,384700.0,1.1320255026974007,False
60,Kentucky,Lexington,139866.66666666666,139566.66666666666,0.9978551000953289,True
61,New Jersey,Newark,257233.33333333334,293333.3333333333,1.1403395101723466,True
62,Florida,Tallahassee,169700.0,180566.66666666666,1.0640345708112355,True
63,California,Stockton,160466.66666666666,235100.0,1.4651017864561695,False
64,Texas,Plano,197133.33333333334,205966.66666666666,1.0448089279675346,False
65,Arizona,Chandler,219233.33333333334,254666.66666666666,1.1616238406568342,False
66,Kentucky,Louisville,97033.33333333333,98033.33333333333,1.0103057368601855,True
67,Nevada,Henderson,210533.33333333334,276366.6666666667,1.3126979100696643,False
68,California,Modesto,157800.0,226033.33333333334,1.4324038867765103,False
69,Alabama,Mobile,116566.66666666667,126500.0,1.0852158993422933,False
70,Texas,Lubbock,104900.0,93866.66666666667,0.8948204639339054,True
71,Arizona,Glendale,167200.0,204066.66666666666,1.220494417862839,False
72,North Carolina,Durham,157166.66666666666,160833.33333333334,1.0233297985153766,True
73,Florida,Orlando,144200.0,181733.33333333334,1.2602866389274157,True
74,Virginia,Norfolk,183000.0,191900.0,1.0486338797814208,False
75,Florida,Saint Petersburg,125900.0,155766.66666666666,1.2372253110934603,False
76,Florida,Pensacola,120233.33333333333,123566.66666666667,1.0277238702522873,False
77,Indiana,Fort Wayne,90333.33333333333,99266.66666666667,1.0988929889298895,False
78,North Carolina,Greensboro,119633.33333333333,125900.0,1.052382279186403,True
79,Nebraska,Lincoln,126433.33333333333,129200.0,1.021882414974954,True
80,California,San Bernardino,142566.66666666666,249833.33333333334,1.7523965396305823,False
81,California,Corona,289000.0,391033.3333333333,1.3530565167243367,False
82,California,Chula Vista,313100.0,408000.0,1.3030980517406578,False
83,Virginia,Chesapeake,243000.0,258266.66666666666,1.0628257887517147,True
84,Florida,Hialeah,154233.33333333334,238000.0,1.5431164901664145,False
85,Wisconsin,Madison,191433.33333333334,194466.66666666666,1.0158453769806721,True
86,California,Fontana,216866.66666666666,324500.0,1.4963110974485092,False
87,Florida,Fort Myers,139333.33333333334,175000.0,1.255980861244019,False
88,Tennessee,Knoxville,115566.66666666667,110233.33333333333,0.953850591289299,True
89,Texas,Laredo,100100.0,92133.33333333333,0.9204129204129203,False
90,Nevada,North Las Vegas,142833.33333333334,222200.0,1.5556592765460908,False
91,Georgia,Lawrenceville,145666.66666666666,172333.33333333334,1.1830663615560641,False
92,California,Fremont,536233.3333333334,598033.3333333334,1.1152483371666564,False
93,North Carolina,Fayetteville,112600.0,111900.0,0.9937833037300178,False
94,Missouri,Springfield,120100.0,116400.0,0.9691923397169026,False
95,Virginia,Arlington,494600.0,520400.0,1.052163364334816,False
96,Texas,Irving,118366.66666666667,127800.0,1.0796958603210363,False
97,Arizona,Gilbert,221866.66666666666,265366.6666666667,1.196063701923077,False
98,Arizona,Scottsdale,354066.6666666667,415433.3333333333,1.173319525513086,False
99,New York,Rochester,58200.0,58666.666666666664,1.0080183276059564,True
100,North Carolina,Winston-Salem,120066.66666666667,125733.33333333333,1.0471960022209883,True
101,California,Irvine,609933.3333333334,669566.6666666666,1.097770248114548,True
102,Virginia,Richmond,144033.33333333334,156233.33333333334,1.0847026151353854,False
103,Florida,Boca Raton,228000.0,276066.6666666667,1.2108187134502926,True
104,California,Oxnard,339766.6666666667,434700.0,1.2794074364760128,False
105,Florida,Bradenton,149800.0,180100.0,1.2022696929238985,False
106,California,Santa Rosa,355833.3333333333,422066.6666666667,1.1861358313817332,False
107,Iowa,Des Moines,108700.0,115766.66666666667,1.0650107329040173,False
108,Nevada,Reno,225700.0,275566.6666666667,1.220942253729139,True
109,Washington,Spokane,146633.33333333334,155900.0,1.063196180950216,False
110,Georgia,Augusta,84433.33333333333,90200.0,1.0682984603237269,False
111,Washington,Tacoma,205666.66666666666,230500.0,1.120745542949757,False
112,Michigan,Grand Rapids,93866.66666666667,104200.0,1.1100852272727273,False
113,California,Oceanside,320933.3333333333,386500.0,1.2042999584545078,False
114,Florida,Gainesville,162333.33333333334,183966.66666666666,1.1332648870636548,True
115,Virginia,Woodbridge,221100.0,285966.6666666667,1.2933815769636665,False
116,Florida,Ocala,117933.33333333333,140766.66666666666,1.1936122102882984,False
117,California,Glendale,531000.0,596933.3333333334,1.1241682360326428,False
118,Idaho,Boise,182600.0,208300.0,1.1407447973713034,False
119,South Carolina,Greenville,122233.33333333333,121200.0,0.99154622307063,False
120,Alabama,Birmingham,68366.66666666667,72400.0,1.0589956118966357,False
121,Utah,Salt Lake City,270300.0,249466.66666666666,0.9229251449007275,True
122,California,Huntington Beach,597400.0,650233.3333333334,1.088438790313581,False
123,Ohio,Akron,69500.0,78666.66666666667,1.13189448441247,False
124,Illinois,Rockford,106500.0,110533.33333333333,1.0378716744913927,False
125,California,Salinas,268133.3333333333,420900.0,1.569741422178021,False
126,Massachusetts,Worcester,181766.66666666666,205000.0,1.1278195488721805,True
127,California,Moreno Valley,166000.0,288933.3333333333,1.7405622489959838,False
128,Arkansas,Little Rock,129000.0,128833.33333333333,0.9987080103359173,False
129,Florida,Port Saint Lucie,114833.33333333333,162333.33333333334,1.4136429608127723,False
130,Texas,Brownsville,67566.66666666667,61566.666666666664,0.911198815984213,False
131,Rhode Island,Providence,164300.0,197333.33333333334,1.2010549807263138,True
132,Texas,Amarillo,106500.0,103766.66666666667,0.9743348982785603,False
133,California,Lancaster,174300.0,254533.33333333334,1.4603174603174605,False
